MARKET: Bitcoin Up or Down - December 12, 9:30AM-9:45AM ET
RESOLUTION: YES
TRADES: 707
TIME RANGE: 2025-12-12 09:30:20 to 2025-12-12 09:41:20
PRICE RANGE: 2.00 - 99.00

--- Position at resolution ---
Remaining YES shares: 4085.34
Remaining NO shares:  4043.87
Final value: $ 4085.34
Total spent (net exposure): $ 4032.10
FINAL PNL: $ 53.23

--- Buy/Sell totals ---
YES buys:  4085.34 sh / $ 2713.01
YES sells: 0.00 sh / $ 0.00
NO buys:   4043.87 sh / $ 1319.09
NO sells:  0.00 sh / $ 0.00

--- Cumulative buys ---
YES cumulative: 4085.34 sh / $ 2713.01
NO cumulative:  4043.87 sh / $ 1319.09

--- Exposure peaks (trade index: earliest → latest) ---
YES dollar peak: $ 2713.01 at trade #707
NO dollar peak:  $ 1319.09 at trade #703
YES share peak:  4085.34 sh at trade #707
NO share peak:   4043.87 sh at trade #703

--- Final exposure ---
YES exposure: $ 2713.01 | 4085.34 sh
NO exposure:  $ 1319.09 | 4043.87 sh
NET exposure: $ 4032.10 | 8129.20 sh

--- Trades (Sorted by Timestamp) ---
Idx | Time                | Type | Side | Price(c) |   Shares   |    Cost($)
145 | 2025-12-12 09:31:26 | Buy  | Up   |    43.50 |      10.05 | $      4.37
146 | 2025-12-12 09:31:26 | Buy  | Up   |    47.74 |      20.00 | $      9.55
147 | 2025-12-12 09:31:26 | Buy  | Up   |    48.00 |       5.50 | $      2.64
148 | 2025-12-12 09:31:26 | Buy  | Up   |    50.00 |      20.00 | $     10.00
149 | 2025-12-12 09:31:28 | Buy  | Up   |    48.00 |       5.10 | $      2.45
150 | 2025-12-12 09:31:32 | Buy  | Down |    46.00 |      19.86 | $      9.14
151 | 2025-12-12 09:31:34 | Buy  | Down |    51.00 |       1.00 | $      0.51
152 | 2025-12-12 09:31:34 | Buy  | Down |    52.84 |      17.96 | $      9.49
153 | 2025-12-12 09:31:34 | Buy  | Down |    46.00 |       0.14 | $      0.06
154 | 2025-12-12 09:31:34 | Buy  | Down |    57.00 |      20.00 | $     11.40
155 | 2025-12-12 09:31:36 | Buy  | Down |    57.00 |      20.00 | $     11.40
156 | 2025-12-12 09:31:36 | Buy  | Up   |    45.00 |       2.73 | $      1.23
157 | 2025-12-12 09:31:36 | Buy  | Down |    53.00 |       5.00 | $      2.65
158 | 2025-12-12 09:31:36 | Buy  | Down |    57.00 |      20.00 | $     11.40
159 | 2025-12-12 09:31:36 | Buy  | Down |    57.00 |      20.00 | $     11.40
160 | 2025-12-12 09:31:36 | Buy  | Down |    57.00 |      20.00 | $     11.40
