MARKET: Bitcoin Up or Down - December 12, 9:15AM-9:30AM ET
RESOLUTION: NO
TRADES: 955
TIME RANGE: 2025-12-12 09:15:30 to 2025-12-12 09:29:14
PRICE RANGE: 1.00 - 95.00

--- Position at resolution ---
Remaining YES shares: 5393.64
Remaining NO shares:  5374.96
Final value: $ 5374.96
Total spent (net exposure): $ 5250.82
FINAL PNL: $ 124.14

--- Buy/Sell totals ---
YES buys:  5393.64 sh / $ 2605.44
YES sells: 0.00 sh / $ 0.00
NO buys:   5374.96 sh / $ 2645.37
NO sells:  0.00 sh / $ 0.00

--- Cumulative buys ---
YES cumulative: 5393.64 sh / $ 2605.44
NO cumulative:  5374.96 sh / $ 2645.37

--- Exposure peaks (trade index: earliest → latest) ---
YES dollar peak: $ 2605.44 at trade #953
NO dollar peak:  $ 2645.37 at trade #955
YES share peak:  5393.64 sh at trade #953
NO share peak:   5374.96 sh at trade #955

--- Final exposure ---
YES exposure: $ 2605.44 | 5393.64 sh
NO exposure:  $ 2645.37 | 5374.96 sh
NET exposure: $ 5250.82 | 10768.60 sh

--- Trades (Sorted by Timestamp) ---
Idx | Time                | Type | Side | Price(c) |   Shares   |    Cost($)
198 | 2025-12-12 09:18:06 | Buy  | Up   |    46.00 |       0.19 | $      0.09
199 | 2025-12-12 09:18:08 | Buy  | Down |    52.00 |       5.00 | $      2.60
200 | 2025-12-12 09:18:08 | Buy  | Down |    52.00 |      10.42 | $      5.42
201 | 2025-12-12 09:18:08 | Buy  | Up   |    46.00 |       6.33 | $      2.91
202 | 2025-12-12 09:18:10 | Buy  | Down |    52.00 |       6.25 | $      3.25
203 | 2025-12-12 09:18:10 | Buy  | Up   |    46.00 |       0.76 | $      0.35
204 | 2025-12-12 09:18:10 | Buy  | Up   |    46.00 |       4.80 | $      2.21
205 | 2025-12-12 09:18:14 | Buy  | Up   |    46.00 |      20.00 | $      9.20
206 | 2025-12-12 09:18:14 | Buy  | Up   |    47.00 |      20.00 | $      9.40
207 | 2025-12-12 09:18:14 | Buy  | Up   |    46.00 |      20.00 | $      9.20
208 | 2025-12-12 09:18:14 | Buy  | Up   |    46.00 |       5.20 | $      2.39
209 | 2025-12-12 09:18:14 | Buy  | Up   |    46.00 |       3.33 | $      1.53
210 | 2025-12-12 09:18:16 | Buy  | Down |    52.00 |      10.42 | $      5.42
211 | 2025-12-12 09:18:16 | Buy  | Up   |    46.00 |      20.00 | $      9.20
212 | 2025-12-12 09:18:16 | Buy  | Down |    52.00 |      20.00 | $     10.40
213 | 2025-12-12 09:18:16 | Buy  | Down |    52.00 |       6.00 | $      3.12
214 | 2025-12-12 09:18:16 | Buy  | Down |    52.00 |      20.00 | $     10.40
215 | 2025-12-12 09:18:18 | Buy  | Down |    52.00 |       3.58 | $      1.86
216 | 2025-12-12 09:18:18 | Buy  | Down |    52.00 |       5.46 | $      2.84
217 | 2025-12-12 09:18:18 | Buy  | Down |    52.00 |       7.27 | $      3.78
218 | 2025-12-12 09:18:18 | Buy  | Down |    52.00 |       5.98 | $      3.11
219 | 2025-12-12 09:18:18 | Buy  | Down |    52.00 |       8.54 | $      4.44
220 | 2025-12-12 09:18:20 | Buy  | Up   |    45.00 |       1.22 | $      0.55
221 | 2025-12-12 09:18:20 | Buy  | Up   |    45.00 |       5.00 | $      2.25
222 | 2025-12-12 09:18:24 | Buy  | Up   |    46.00 |       2.22 | $      1.02
